ID,YEAR,MONTH,TIME,Urea_Price,MP_Price,TSP_Price,Maize_Price,Rice_Price,Wheat_Price,Food_Price_Index,Energy_Price_Index,VIX_Index
1,1992,Jan,Jan-92,122.5,110,120,109.3,277.3,170,55.7,23.7,17.7
2,1992,Feb,Feb-92,120.6,110,120,113.6,278.3,177.1,55.5,23.8,17.5
3,1992,Mar,Mar-92,120,110,120,117,277.2,169.4,55.6,23.8,17.5
4,1992,Apr,Apr-92,120,110,120.2,108.5,278,159.9,54.1,25.2,16.6
5,1992,May,May-92,120,110,120.5,109.6,274,149.7,54.2,26.3,15.1
6,1992,Jun,Jun-92,120,110,120.5,110.9,268.8,148.7,54.8,27.7,15.2
7,1992,Jul,Jul-92,120,110,120.5,102.8,278.5,136.3,53.7,27.3,13.6
8,1992,Aug,Aug-92,120,113.6,120.8,97,270.8,128.2,53.8,27,14.4
9,1992,Sep,Sep-92,120,114.5,121.5,98.1,257,138.7,53.3,28.1,13.7
10,1992,Oct,Oct-92,116.9,114.5,121.5,95.1,250,140.6,51.7,28,17.6
11,1992,Nov,Nov-92,107.5,114.5,121.5,94.5,252.6,147.6,52.1,26.4,14.4
12,1992,Dec,Dec-92,103.8,114,121.9,94.6,256.3,147.8,52,25.3,12.2
13,1993,Jan,Jan-93,102.5,113,121.9,94.2,259.8,155.7,53.5,24.2,12.4
14,1993,Feb,Feb-93,102.5,112.5,121.5,94.4,254.3,148.9,53.3,24.8,13.7
15,1993,Mar,Mar-93,86.2,112.5,111,97.1,230.2,147.9,54.1,25.7,13.6
16,1993,Apr,Apr-93,81,112.5,109.6,100.6,206.3,142,53.8,25.9,12.8
17,1993,May,May-93,81,112.5,107.5,98.6,184.8,136.6,53,25.4,13.6
18,1993,Jun,Jun-93,81,112.5,105.5,92.8,189,121.8,51.3,24.4,12.5
19,1993,Jul,Jul-93,81,112.5,105.1,101.3,200.8,127.5,54.1,23.2,11.5
20,1993,Aug,Aug-93,81,112.5,107.5,100.3,209,129.8,53.5,23.7,11.9
21,1993,Sep,Sep-93,81,112.5,107.5,100.9,206,131.3,53.5,23,12.9
22,1993,Oct,Oct-93,81,112.5,111.3,106.5,256.8,136,54.1,23.4,11.9
23,1993,Nov,Nov-93,82.8,112.5,112.5,116.7,307.8,146.5,56.7,22.3,14.1
24,1993,Dec,Dec-93,85.5,112.5,122.5,121.8,320.5,158.7,58.6,20.8,11.4
25,1994,Jan,Jan-94,85.5,112.5,125,127.2,356,153.2,59.9,21.1,11.3
26,1994,Feb,Feb-94,85.5,112.5,125.6,123.2,343.8,147,59.7,21.2,13.6
27,1994,Mar,Mar-94,98.6,112.5,127.5,119.4,269.8,141,58.4,20.3,15.2
28,1994,Apr,Apr-94,103.5,112.5,130,113.2,269.3,140.5,57.2,21.6,16.5
29,1994,May,May-94,103.5,112.5,132.5,109.6,233,140.2,56.6,22.8,13.9
30,1994,Jun,Jun-94,103.5,112.5,132.5,112.2,213.8,139.3,56.3,23.9,13.4
31,1994,Jul,Jul-94,106.5,112.5,132.5,97.8,226.3,137.6,55.6,24.7,12.5
32,1994,Aug,Aug-94,88,112.5,132.5,96,252.6,146,57.1,23.4,11.9
33,1994,Sep,Sep-94,88,112.5,132.5,97.5,259.8,158.8,59,22.4,13.2
34,1994,Oct,Oct-94,88,112.5,136.6,96.5,262,167.2,57.6,22.7,15.3
35,1994,Nov,Nov-94,88,112.5,139,95.5,264.5,162,59.2,23.5,16.4
36,1994,Dec,Dec-94,88,112.5,139,102.5,260.5,164.6,61.2,22.6,14.2
37,1995,Jan,Jan-95,159.6,112.5,142.4,107,276.8,156.2,59.9,23.4,12.3
38,1995,Feb,Feb-95,177.5,112.5,147.5,106.7,280.5,154.4,61.2,24.1,11.5
39,1995,Mar,Mar-95,191.3,112.5,147.5,109.7,286.3,150.4,60.6,24,12.2
40,1995,Apr,Apr-95,205,112.5,147.5,109.3,281.5,149,59.4,25.5,12.4
